person_id,earnings,training,offer,age,baseline_earnings
96,51743.15830204065,1,1,41,28744.01740693875
97,49212.541108284226,0,1,47,28967.438879027413
98,40282.85340443383,0,1,29,29796.26640913218
99,41091.521684813364,0,1,22,29834.845392251507
100,43268.78840469734,0,0,44,27058.328859848927
101,34268.08438218335,0,1,31,34802.82391443207
102,43459.16464799249,0,0,40,26048.617257990725
103,39931.377285600116,0,1,22,32054.241794336605
104,49577.23290539192,1,1,48,25442.225103653534
105,49462.94543172796,1,0,33,34260.378791674084
106,57755.33267610647,1,1,54,34868.56435733702
107,49667.57027324051,1,1,55,30758.954368949293
108,33576.0317581916,0,0,22,25070.52496743945
109,53710.86685006799,1,1,33,37830.448559915014
110,41867.84349115891,1,1,23,36043.64933713951
111,37718.70814179248,1,0,55,26710.44686727218
112,49031.29436965938,0,0,40,39010.040189575164
113,53696.17533092325,0,0,49,34362.3587003112
114,77697.08635585698,1,1,45,44983.76886776032
115,53106.435946961836,1,1,46,31916.165602815217
116,56512.807178991694,1,1,32,35159.843639848754
117,24029.651888311866,0,0,30,17981.26597496862
118,43217.95074577336,1,1,43,26291.73755553754
119,44742.76033054632,0,0,33,23907.17913785534
120,33501.318099175645,0,0,42,27583.55955902732
121,46852.21504354343,1,0,50,28064.68830731555
122,33407.30352391035,0,0,32,25355.63834295082
123,58566.89965547968,1,1,26,29971.056964703588
124,43551.42740502794,0,0,35,32264.54445848335
125,37053.14527687362,0,1,37,25613.226737484383
126,37284.02972498731,0,0,38,19925.651132127314
127,46264.218552059865,1,0,49,24505.78550101316
128,55052.48344800502,1,0,54,32436.373731561922
129,49030.44776463865,0,0,37,31329.210749759226
130,46982.41760638479,1,1,28,26788.57858942332
131,28411.569542638495,0,1,22,21355.172635949522
132,38989.767234041516,0,1,48,24155.15457321871
133,50027.71416639819,1,0,51,27788.39215395178
134,52035.323372110186,1,1,39,41910.729537560175
135,52579.29936865902,0,1,40,24671.662635068787
136,58650.65949147585,1,1,54,33687.2575615847
137,29501.28154183423,0,1,31,22157.77080776076
138,37871.30558453686,1,0,26,24831.24099062101
139,38865.574459567826,0,0,44,19742.28953686053
140,47007.915226621306,0,1,50,31399.975861988132
141,44851.513026383844,0,0,41,29772.941835818565
142,46616.65751544054,1,1,29,37882.91235007802
143,30139.011410320396,0,1,33,28594.837742230276
144,37984.06832213587,0,0,31,24126.42481090173
145,55382.229436455134,1,1,48,39647.25928740973
146,48905.37843131274,1,0,32,32699.026827678772
147,41608.3093448554,0,0,49,28066.84623154554
148,51929.551018234226,1,1,39,27535.348997429162
149,56407.41315756033,1,1,52,25564.57906608278
150,53681.17832854316,1,1,22,24736.193382123864
151,52078.77939388988,1,0,51,34122.610394656156
152,57134.91019567482,1,1,28,35485.1363436369
153,36828.37638451653,0,1,44,27699.851314291525
154,21342.180298142302,0,1,31,20612.862388714388
155,49644.6134552852,1,0,41,25911.71589136104
156,45958.02618062339,0,1,51,26221.144008810435
157,40406.51803160242,1,0,48,26164.268060810395
158,49690.5270141741,1,1,34,27445.777378342096
159,47402.86274306053,1,0,29,36910.25010385215
160,53317.034139388874,1,1,30,30503.001496643054
161,44011.72210872065,0,1,55,29745.118247891238
162,31565.734691775266,0,1,35,27809.339582629596
163,44539.29918398512,1,1,22,31503.76851223176
164,39710.130281053905,0,0,39,24423.703572334125
165,50927.14964751423,1,1,44,37862.48165136927
166,30783.290665716213,0,0,23,16395.88329803338
167,55693.46239941452,1,1,40,34998.86703376082
168,43454.415855233034,0,0,39,28744.29711961431
169,29502.95542817002,0,1,41,24449.091280236236
170,30187.394555018804,0,1,22,20356.841249842553
171,43887.8355299488,1,1,53,17063.026162706086
172,55646.11831833043,1,1,48,32447.674486411997
173,40200.10805751625,0,0,36,25761.600958450923
174,26276.644981655998,0,0,41,18255.191752489565
175,30954.50035688008,1,0,31,28602.37282298646
176,43233.51674462379,1,0,35,27674.237007109048
177,54803.89170557041,1,0,42,34823.895249792906
178,54276.895358400856,0,1,25,36828.90251405167
179,50328.30310637565,1,1,51,32571.82099431554
180,36846.72243060766,0,0,22,26368.69742015447
181,57051.302863348734,1,1,54,25314.345862643255
182,28277.482787821453,0,0,24,27881.749199003203
183,38243.595848904544,0,1,32,26844.062492462515
184,46208.01734857488,0,1,41,31677.953226790298
185,48644.75620238654,1,0,53,25789.27478924305
186,63775.82444978595,1,0,34,36795.72871983132
187,36265.917958598155,0,1,34,18639.19497783883
188,38403.09986096403,0,1,26,22402.30484057794
189,34272.065213604736,0,1,35,25461.620962234145
190,38311.25688776014,0,0,25,24702.505608782365
191,53469.95138654745,0,1,50,32393.50584685247
192,41251.68371061176,1,1,30,27482.20764854325
193,41881.24920136761,1,1,32,37703.659251406025
194,36063.84758476829,0,1,54,22095.4841318783
195,39260.194818459815,0,1,42,22775.33372776443
196,40366.074863475274,0,1,45,19585.94516900369
197,36194.28425134036,0,1,47,33707.84645789526
198,42439.71356250588,1,1,51,19532.233870267268
199,63702.75940972778,1,1,53,38045.18865196935
200,53917.19976412525,1,0,48,34159.636534992824
201,28445.011446606663,0,1,33,26302.974585762015
202,51723.367546066685,0,0,33,35791.17693657477
203,21692.51759842802,0,0,22,23895.09001591589
204,43191.16237064274,1,1,39,26337.99619274911
205,43514.63676364842,0,1,47,25748.15469074346
206,35829.664174046455,1,1,36,27259.00729220048
207,28933.935233297416,1,1,25,12974.701025268354
208,54718.89931428406,1,1,22,30800.904461198705
209,32534.868553168617,0,0,44,21511.841875032384
210,51833.01182365915,1,0,23,33534.37638373436
211,34677.39272251014,0,1,34,31012.20332644757
212,36196.93741959227,1,1,27,22773.421580808314
213,47974.323423713715,0,0,54,28984.277072642006
214,46941.59275893653,1,0,36,26825.844303389673
215,34164.407142406664,0,1,31,32306.890108243235
216,44855.01936729201,0,1,50,29341.322304884416
217,44796.363307186795,1,0,51,25413.646046577403
218,57099.6597612925,1,0,42,32275.36514838696
219,42634.30125638917,1,0,42,29093.059099114344
220,51866.636272115335,1,0,22,32473.240025151885
221,39714.85699590377,0,1,46,23041.510584353047
222,39411.05986562834,1,1,36,27156.775981433384
223,50248.36857515056,1,1,43,30552.72734095498
224,26693.72246330203,0,1,40,22012.77305491917
225,63234.66728226712,1,1,49,37095.56276358587
226,42182.680201012445,1,0,43,19454.11905558309
227,31583.1010245158,0,0,49,21909.99115292946
228,50905.128243540086,1,1,36,32710.078314055536
229,57444.8966639736,1,0,38,32969.38750231075
230,43445.450393124614,0,0,33,25802.639193936684
231,55470.26022454271,1,0,50,25613.198632975214
232,46242.057494262524,1,0,33,36112.750799932684
233,31597.24840593155,0,1,44,20147.01223254412
234,59452.85028881035,1,1,49,40991.158242100835
235,53391.739614071696,1,0,47,30111.18019339071
236,51610.528206019146,1,0,31,26585.884250704017
237,45202.44632659866,1,1,37,23120.65599644148
238,41486.45681849653,0,1,41,28231.909048566784
239,41681.18361644552,0,0,22,32789.841950917085
240,35903.42852978569,0,1,54,22007.362903161058
241,35831.938001339135,0,0,33,18178.564914046005
242,45236.92647569075,1,1,34,28377.187919747677
243,37245.181552359776,0,0,51,21737.24936766189
244,37362.390186884826,0,0,55,28112.513879200524
245,50458.705252507614,1,1,36,28222.940687621256
246,44789.642145557766,0,0,23,31836.985297632178
247,54751.550842938785,1,1,36,30922.504888845928
248,44599.834183914594,1,0,38,31888.015645242536
249,40641.56710187369,0,0,44,23737.76164373927
250,46702.531273175395,0,0,54,31827.892388229076
251,32096.44679510292,0,1,29,23814.759051363577
252,34865.439117550224,0,1,25,27985.80015397616
253,52338.559207229715,1,0,38,27009.098618794524
254,29169.87837578888,1,0,35,26601.106497643577
255,31568.81657056448,0,1,23,23467.641499599195
256,46460.961944601615,0,1,51,23191.50326521275
257,25642.479946869673,1,0,46,28210.558347053666
258,54392.15838914488,0,1,39,28853.826533903706
259,60470.4890362727,1,0,42,31370.080438198245
260,42202.9628961058,0,1,28,26088.94337693809
261,51862.92365911395,1,0,55,34075.034748504855
262,39390.906037869805,0,0,37,26335.99797599289
263,52051.73831979974,0,0,37,36283.49666684548
264,40149.19052025523,1,0,51,25442.975217876432
265,44780.07574600397,0,0,34,30798.887143628453
266,36139.401615038754,0,1,51,24181.588902317584
267,52286.87484823143,1,1,41,27089.142232124814
268,42969.529319652094,1,0,29,31507.175214683128
269,39365.55476814912,0,1,32,26497.409298408234
270,45074.95424185764,0,1,47,28820.944487501747
271,40917.31851251627,1,0,42,22659.551692490335
272,43374.82056591122,0,0,48,29288.600215684117
273,65629.36770805277,1,1,55,36241.159245111085
274,51621.377042996864,1,1,41,30625.273142321654
275,46341.72539691916,0,1,55,29192.385297187175
276,56968.22898941602,1,1,45,35504.884654678135
277,42174.17360641942,0,1,34,26278.513146923164
278,39779.84451562479,0,0,36,21610.297944525664
279,45232.44849134674,1,0,51,19146.476477225973
280,36427.93955899168,0,1,24,23755.86084894641
281,33891.761543978966,1,1,36,24390.063285789332
282,53331.48670774671,1,0,27,32290.08675923599
283,64227.57504851735,1,0,24,44591.10058425144
284,41830.819471073846,0,0,52,21287.148435846764
285,52791.852861793974,1,1,38,27090.04295723287
286,31563.269723590125,0,1,43,26452.267045704495
287,39549.36402044568,0,0,44,21453.029933311944
288,46360.31047884817,0,1,40,24704.342689904388
289,34251.13768384156,0,1,30,19548.06933677738
290,46662.03747041416,0,0,42,30980.49120346385
291,45671.34398767013,1,1,36,38515.27588021551
292,55563.175214176896,1,1,55,31900.606978793403
293,51753.155373753114,1,0,45,35545.17434906889
294,55816.20868080941,0,0,46,31083.36483542344
295,44885.1988654156,1,0,42,23606.23896425451
296,43198.291604491395,1,0,42,23744.837736542755
297,38270.47154804894,0,1,38,26958.882689780734
298,39184.76359969428,1,0,41,27680.790675026426
299,44699.950339334326,0,1,43,39018.293290022775
300,49043.19432200999,1,0,45,27165.891118263822
301,51082.38905401771,1,1,38,27073.338215791035
302,48246.051136924616,1,0,28,29552.324124817114
303,34031.99338277588,0,1,48,33652.75545258142
304,43536.73344788923,0,0,55,38892.800024846685
305,38363.53513765407,0,1,39,24342.52270782582
306,50497.12076470762,0,1,40,31064.46278012055
307,44271.81557958642,0,1,48,22808.86619615081
308,46269.05049065914,1,0,27,28782.592746616698
309,41972.702065599864,0,1,42,29126.05701458172
310,52354.24939868305,1,1,46,24229.405454794025
311,46411.885647509815,1,1,55,35546.2605281485
312,37113.232323843295,0,0,34,32067.898266906013
313,39529.2886989424,0,0,40,25744.65498902287
314,49478.82464696442,1,1,28,23724.70071698448
315,28258.417018858054,0,0,29,25831.61143963776
316,44013.77935625912,0,0,31,31395.156493557573
317,32406.321921296814,0,0,43,23494.36159116782
318,48677.59600059578,1,1,42,26093.077605149105
319,42301.8681848162,0,0,36,25464.438287989622
320,28760.306093761763,0,1,42,24775.295618277065
321,35536.91381418573,0,0,34,29000.369167002867
322,33059.96709735305,0,1,33,31563.364651585394
323,62986.69084747818,1,1,26,35929.89301594562
324,39917.74390105333,0,0,54,24729.369684656387
325,42792.86744968422,1,1,28,27430.53539559663
326,34474.94159481534,0,1,44,29062.064472599595
327,29909.752722547488,0,1,29,18702.161410852765
328,44893.76488632995,1,1,38,29312.37978483013
329,36403.39746247082,0,1,29,26640.652656528186
330,39032.90189191692,1,1,40,22066.7398966216
331,60259.018861065655,1,1,22,36512.97916247538
332,39437.102035469536,1,1,32,29408.866670857453
333,47293.86479218613,1,0,26,28920.542536844052
334,54181.24671078437,1,1,33,32494.59966116077
335,50402.80387442172,0,1,41,31566.031233046142
336,53288.02875820159,1,1,22,29883.639371228393
337,47749.93857073199,1,1,45,24927.5706815835
338,52804.49073952875,1,1,42,28874.73841617845
339,51001.53912561705,0,0,25,29863.950934439803
340,37143.01919999728,0,0,52,22946.132353247278
341,32272.33294674356,0,0,45,28787.0421184716
342,35341.11233644195,0,0,44,26873.858952847597
343,33723.41572021994,0,0,29,17293.5212735681
344,49812.753017587595,1,0,26,21969.17862841052
345,35483.55898249439,0,1,52,18912.57131871335
346,44595.32892064489,0,0,31,26009.307512071206
347,21332.53514993892,0,0,42,15550.03943592273
348,37113.49293142684,0,1,47,24690.087172858843
349,45445.519511679326,1,0,37,33034.53906878493
350,36665.89873028627,0,1,36,28257.759851432675
351,66293.94880134407,1,1,48,39975.13985907773
352,39224.26672412741,1,1,39,27725.1009228051
353,43764.789797153455,0,0,52,34161.19220652949
354,59710.25456372333,1,1,43,35479.667564626856
355,59669.5169398209,1,0,49,39752.91946666809
356,31949.23730496227,0,1,49,30331.12044581738
357,38399.69382291093,0,0,40,26356.17865685991
358,43484.769290631935,1,0,24,31505.334814039255
359,43196.70582631982,0,1,41,24848.632302602047
360,55579.81093650806,0,0,55,28646.545517084018
361,48030.141280493175,1,0,25,36954.546455143674
362,32098.927803439066,0,1,39,19588.658619512913
363,36411.53606606172,0,0,40,19952.162810615795
364,58700.28699520588,1,1,28,29872.039278548913
365,39878.443009516974,0,0,27,30468.266270058433
366,56581.981409399676,1,0,25,40729.48701975806
367,41846.97948819088,0,0,50,21203.69017466268
368,30291.560806053974,0,0,45,33131.38535515118
369,47260.595703855,0,1,31,33383.31680850176
370,53702.8036286102,1,1,39,32869.45157667632
371,46422.629693737916,1,1,32,25711.901247702885
372,39075.84903888399,1,0,51,25163.992399612594
373,61207.98326881276,1,0,49,40410.05837844309
374,44953.78603517895,0,1,41,31338.835506543175
375,53567.993183525454,1,1,53,39369.322324448556
376,39096.51122125353,1,0,37,18241.256717823726
377,42290.34420786885,1,0,23,36438.64238420915
378,44720.112154115544,1,1,25,27121.332258649636
379,41602.33902162792,0,0,46,26977.78524757098
380,42258.42460577352,0,0,51,31864.180493965003
381,50293.53595989307,0,0,26,36620.01022924935
382,58031.23415077054,1,0,36,35251.21780091199
383,47682.84394444972,1,0,42,32189.853830809163
384,51488.61800275498,1,0,32,33805.647845989435
385,37144.24495783244,0,0,23,28024.57682867734
386,49525.89540341888,0,0,42,28878.748917602723
387,42274.69230200819,1,0,29,31814.108394827643
388,45871.74745372934,0,0,35,27911.907026548448
389,50970.04265828002,0,0,54,29715.937449582198
390,45133.5166893767,1,0,28,26095.004396877932
391,33129.60702322692,0,0,28,23924.57108213021
392,42491.29268842935,1,0,35,29507.257031213205
393,63498.94600291331,1,0,34,34544.98668222493
394,40893.15095931277,0,0,54,31277.813163761803
395,41375.721481121545,0,0,46,25727.976012622064
396,40689.736959838694,0,0,29,33089.98140680778
397,40648.603884034375,1,1,38,20244.70045634467
398,37895.12295350084,0,0,34,34131.77457338568
399,39754.138525260125,0,1,23,23996.02110975212
400,38544.103728445305,0,1,54,27440.83550213855
401,61727.98999686114,1,1,49,33560.03835168567
402,43398.28609979535,0,0,35,35331.85052566677
403,53202.982130562836,1,0,28,35032.61134825514
404,56351.029876394314,1,1,46,29852.91746814801
405,42653.50661280822,1,0,48,25337.394272583635
406,42552.835917241406,0,0,44,24881.257693723393
407,41104.446178466824,1,1,41,28141.68634316718
408,45124.828276283726,1,0,50,32247.03453658753
409,55051.88249728987,1,1,22,29296.689214539452
410,41635.63835230257,1,1,40,25073.296281399445
411,48464.42937858212,1,0,41,27364.628375093904
412,38916.36349439491,0,1,30,26144.52837789725
413,37598.388686797465,0,0,39,31428.78305284484
414,33874.4994414125,0,1,39,25069.91333238378
415,43100.976373760546,1,1,40,25857.034891543783
416,33862.315872190564,0,1,39,23034.826080349223
417,42348.08570567923,0,0,24,34439.23255775697
418,44889.036352610434,0,1,43,35907.646843275346
419,44367.63098248503,1,1,28,28078.68844105244
420,43537.728653973565,0,0,22,23785.954857701403
421,30912.049471598137,0,1,33,22109.278373139976
422,28131.298263320714,0,0,23,31648.107393814666
423,47077.069128765535,0,0,23,27574.395403097435
424,58812.13688246366,1,1,53,33832.860035558435
425,46641.701862086906,0,1,35,31496.913644226628
426,46905.262185638836,1,1,45,29456.13871988102
427,63708.89318762974,1,0,50,31230.85520320395
428,41563.80471285832,1,0,55,24526.392745761194
429,33671.41896922834,0,1,45,18687.556165827737
430,52311.7329334522,1,0,28,28912.503617130707
431,42060.90624489199,0,1,40,25717.247178008423
432,21071.067361437163,0,1,37,17264.37839593978
433,29325.04528674524,0,1,28,31748.377876050825
434,34927.72000542375,0,0,33,25456.725969506744
435,53546.89418137362,1,0,25,29074.7526683442
436,45200.16789080068,1,1,45,29411.745238042527
437,39562.3181624982,0,1,45,27108.325491915253
438,43282.08311225065,0,0,23,30613.957811052875
439,39003.23303424024,0,0,32,21170.418219724914
440,44706.546728255,0,1,40,25168.100917315867
441,42643.92367685065,1,1,31,25750.38115174058
442,38106.165980905316,0,1,26,30796.90655407961
443,31807.988367043978,0,1,32,32105.639631764476
444,62913.80873823039,1,0,41,33100.4982113313
445,38729.1099383196,1,1,43,22935.16017649725
446,42866.57538529681,0,0,52,27880.79236259287
447,19364.10061267216,0,1,52,12857.7508087614
448,52466.8126643109,1,0,23,23509.54476810724
449,34506.755491517084,0,0,37,29270.05466412143
450,45583.96306404262,0,0,48,30240.15693992687
451,32176.402101100615,0,0,32,24775.30313801993
452,37497.614484424295,0,1,32,29961.09859106299
453,35113.63316196531,1,1,42,20190.783014611334
454,48182.05532782035,1,0,22,32541.84977237558
455,49884.84386795,1,0,29,30731.756092075568
456,42932.063618133674,0,0,46,30734.668731872345
457,43382.92573028465,1,0,36,32630.13343500197
458,61304.12227067714,1,1,44,33167.302780300044
459,51805.896937889665,1,1,52,33262.12740766485
460,27447.200290005214,0,1,35,23464.22913214252
461,46863.04904852879,1,0,51,30315.330457543554
462,43519.95403233719,1,1,49,22716.785650042195
463,63700.09112606252,1,1,45,29663.350427884827
464,48202.998692497684,1,1,27,27374.865475998286
465,51813.45362497728,0,0,38,32989.85304097582
466,52341.31414462906,1,1,32,31533.759045485767
467,60230.69749265025,1,1,39,33160.010052778336
468,41975.01796279343,0,0,54,23306.07397466424
469,40216.853619619644,1,0,36,28422.870386790666
470,42540.544617431064,0,1,44,27760.101692016495
471,64627.87943617857,1,1,53,36247.63043407245
472,37751.37513982278,0,1,43,29601.184782291493
473,33163.94141770415,0,1,50,19237.104671585712
474,44883.694069986166,1,0,46,31792.07354229508
475,56475.281423764995,1,0,27,33245.592507832
476,46392.85284855709,0,0,49,21874.73551082341
477,37900.80467590717,0,0,27,22296.956044364844
478,28433.3004924432,0,0,46,22454.875692844435
479,50099.82570858153,0,0,24,35904.81648200855
480,39821.943704855,0,0,32,29340.94168460294
481,33323.09154914775,1,0,31,24803.236602436482
482,54280.43319574865,1,0,40,33889.253076040855
483,35930.6193618938,0,0,24,23382.576850142977
484,57716.835332246475,1,1,30,37621.49424161799
485,44770.41503108096,0,1,30,28674.265788960423
486,35878.72123278009,1,0,48,19213.577500991272
487,41698.63143168558,1,0,47,28702.160307367012
488,26576.366900577716,0,1,32,26662.813257339367
489,47032.77334729462,1,0,46,27932.74743132455
490,62167.9831721297,1,0,55,42804.1530669192
491,53332.307816356006,1,0,55,21114.248947322263
492,42620.9547655259,0,1,51,33208.74032296546
493,39851.72094557287,0,1,35,33837.13916580851
494,37074.56448933815,0,1,52,23937.560227733506
495,44357.18254381847,1,0,51,27595.73462305369
496,42239.87929012408,0,1,34,30365.95891491808
497,40858.894539137546,0,0,51,32413.029227712992
498,38749.19805903887,0,0,26,29644.528337587202
499,34040.077966131255,1,0,23,26887.886521501416
500,38807.929300212425,1,1,25,24827.534997472732
501,41143.53773439684,1,0,40,33943.191331215065
502,45871.04668942282,0,1,55,30578.22180319136
503,46750.02224396229,0,1,35,31468.214344442928
504,59722.452663142125,1,0,47,37309.304487655936
505,46179.02169364741,0,1,38,36653.02832159925
506,41340.044017908294,0,0,53,22355.7787558816
507,38845.27557691211,1,1,23,29446.122779808273
508,54003.38142683635,1,1,52,30652.033672781177
509,42449.04939287817,0,0,47,26797.337105005943
510,55049.73323758274,1,0,42,30260.90046320135
511,37803.038420034354,1,0,23,23353.947725109683
512,40192.88942135047,0,0,36,21660.497111172495
513,57722.873768581456,1,0,54,35205.81514928528
514,29371.39811846326,0,0,54,24749.459437447695
515,39525.556694171544,0,1,38,26193.537428009367
516,67307.23531886011,1,1,35,36605.228393387435
517,48513.48788683505,1,0,52,20920.911608213133
518,43190.55781656336,0,0,45,24907.62997574645
519,25192.727506917807,0,1,31,20417.177993108315
520,49402.85101370127,0,1,33,29782.54940760091
521,44512.06019756866,0,1,38,34563.640792517705
522,57323.66119599787,1,1,23,33070.667027670126
523,43365.52821066238,0,0,46,26795.65286236978
524,35271.26490333371,0,1,35,30856.504908557985
525,54216.29689467737,1,0,43,29438.885968973384
526,47515.83464509663,0,1,26,28887.197133843612
527,51440.878127000426,0,0,34,33075.846801486725
528,33734.677809150904,0,1,32,22812.975883800904
529,41473.80920386018,1,0,50,29825.97508845959
530,49221.317499036064,1,1,37,30234.7843490852
531,55633.783999979554,1,1,39,32180.825946075347
532,42583.97792691697,0,0,42,27933.579428489298
533,28488.924753716845,0,1,35,23155.162291362572
534,59223.60948790759,1,1,40,25630.271506674908
535,62282.025315408944,1,1,53,33856.301714748945
536,48111.28512610541,1,1,22,28708.585385329552
537,21847.972654513185,0,0,48,23273.766747775247
538,45292.855017816146,0,0,25,34889.78583718368
539,46714.645654004446,0,0,49,25551.023787745533
540,26502.57890793353,0,1,35,24745.37245621779
541,45250.47426303994,0,0,39,26691.22272751866
542,50296.304476222664,1,1,52,32761.827831659182
543,30086.588016730064,0,1,24,17891.942616329772
544,56621.69713717685,1,0,29,33433.22617558147
545,60394.89787704297,1,0,42,30948.632563912666
546,34584.68835113148,0,1,48,22836.277959462423
547,32754.435963734166,0,1,30,22540.458551890843
548,39513.17676086994,0,0,46,24100.377216900353
549,44182.18592914389,0,0,30,30722.868670922682
550,35212.42925281204,0,1,47,22124.582088513744
551,47746.02030255558,0,1,45,31442.694914543226
552,34468.255121421,0,0,55,25257.508383169887
553,60320.11766149887,1,0,54,39354.87104956209
554,46507.706745804906,0,1,49,31543.03107975231
555,31199.709715618435,0,0,31,23382.03395721277
556,50748.95945286251,1,0,52,25716.70849148566
557,59256.32856122352,1,0,40,32281.897932095588
558,36709.67058522323,0,0,43,27493.385375755497
559,67023.78326803164,0,1,32,40451.14220166634
560,44992.22996193297,0,1,25,30283.391810125737
561,44865.59840925824,1,1,28,27714.038997860913
562,45490.01131681604,0,1,30,22595.569226711526
563,42058.919947111026,0,0,55,37665.34384499429
564,31918.48851948447,0,0,25,21723.457585421125
565,54311.12233255418,1,1,53,28230.930675188756
566,43570.03674053422,0,1,42,20845.750138658605
567,50895.26651205631,1,0,35,29010.862833442465
568,26575.201864956216,0,1,25,20377.47891216365
569,43187.40575426295,1,0,52,25962.000795422206
570,50457.06273457937,1,1,22,30400.56933969821
571,57050.18134199353,1,0,55,26643.20703574949
572,54757.527292092935,0,1,35,26362.018687557495
573,31753.119089357406,0,0,26,31161.02620812396
574,59273.28531614151,1,1,42,31174.913175971957
575,33353.01417561232,0,0,53,21535.753059265706
576,48440.627006841656,0,1,29,27747.447877428156
577,45015.36741514138,1,0,45,26278.9201003295
578,35112.83224283138,0,0,31,34221.087542135436
579,54422.86265609306,1,0,26,24028.95638715462
580,49078.08667362892,0,0,41,20003.625681722464
581,58305.04808917749,1,1,55,34589.47953650683
